,,,,,,
,Month,"14-15
","13-14
",12-13,11-12,10-11
,October,12,12,14,0,34
,November,53,34,63,68,89
,December,70,30,131,20,149
,January,11,47,46,134,23
,February,29,136,33,79,105
,March,15,92,36,158,153
,April,17,44,29,43,79
,May,-,17,14,26,33
," 
",,,,,
,"
",,,,,
,"2013-2014 Winter Season
",,,,,
,,,,,,
,MONTH,BASE AREA SNOWFALL,,,,
, , ,,,,
,October,12,,,,
,November,34,,,,
,December,30,,,,
,January,47,,,,
,February,136,,,,
,March,92,,,,
,April,44,,,,
,May,17,,,,
," 
",,,,,
,"
",,,,,
,,,,,,
,,,,,,
,MONTH,BASE AREA SNOWFALL,,,,
, , ,,,,
,October,14,,,,
,November,63,,,,
,December,131,,,,
,January,46,,,,
,February,33,,,,
,March,36,,,,
,April,29,,,,
,May,14,,,,
," 
",,,,,
,"
",,,,,
,"2011-2012 Winter Season
",,,,,
,,,,,,
,MONTH,BASE AREA SNOWFALL,,,,
, , ,,,,
,October,0,,,,
,November,68,,,,
,December,20,,,,
,January,134,,,,
,February,79,,,,
,March,158,,,,
,April,43,,,,
,May,26,,,,
," 
",,,,,
,"
",,,,,
,"2010-2011 Winter Season
",,,,,
,,,,,,
,MONTH,BASE AREA SNOWFALL,,,,
, , ,,,,
,October,34,,,,
,November,89,,,,
,December,149,,,,
,January,23,,,,
,February,105,,,,
,March,153,,,,
,April,79,,,,
,May,33,,,,